Subj,List,BLOCK,TRIAL,SET,LC,CatNumber,Category,PicID,TARGET,Response,Accuracy,RT
33,5,2,14,2,UnRel,9,drinks,milk.png,Bift,Bift,1,954
33,5,2,15,1,CRel,7,transportation,ship.png,Pramme,Pramme,1,882
33,5,2,16,2,CRel,3,vegetables,potato.png,Rullner,Rullner,1,1168
33,5,2,17,3,CRel,10,clothes,skirt.png,Huspel,Huspel,1,1121
33,5,2,18,1,UnRel,1,animals,horse.png,Rafke,Rafke,1,991
33,5,2,19,3,UnRel,5,fruit,banana.png,Limme,Limme,1,1004
33,5,2,20,1,CRel,7,transportation,car.png,Wefer,Wefer,1,878
33,5,2,21,1,UnRel,15,plants,moss.png,Zwilk,Zwilk,1,878
33,5,2,22,2,CRel,3,vegetables,cucumber.png,Lepf,Lepf,1,891
33,5,2,23,3,UnRel,11,tableware,glass.png,Randel,Randel,1,803
33,5,2,24,2,UnRel,6,furniture,cupboard.png,Gremt,Gremt,1,1052
34,4,1,1,2,CRel,6,furniture,chair.png,Berne,Berne,1,736
34,4,1,2,3,UnRel,15,plants,flower.png,Milster,Milster,1,765
34,4,1,3,2,UnRel,1,animals,cow.png,Ploft,Ploft,1,908
34,4,1,4,3,CRel,13,insects,butterfly.png,Wulge,Wulge,1,715
34,4,1,5,1,CRel,9,drinks,coffee.png,Nimse,Nimse,1,677
34,4,1,6,2,CRel,6,furniture,table.png,Rixt,Rixt,1,698
34,4,1,7,1,UnRel,12,shapes,circle.png,Trulf,Trulf,1,736
34,4,1,8,1,UnRel,8,human head,nose.png,Wirs,Wirs,1,786
34,4,1,9,3,UnRel,11,tableware,bowl.png,Glemp,Glemp,1,677
34,4,1,10,3,CRel,13,insects,fly.png,Gulch,Gulch,1,694
34,4,1,11,1,UnRel,3,vegetables,cucumber.png,Lepf,Lepf,1,689
34,4,1,12,2,UnRel,7,transportation,train.png,Melg,Melg,1,798
34,4,2,13,1,CRel,9,drinks,tea.png,Mönnel,Mönnel,1,681
34,4,2,14,1,UnRel,2,tools,pliers.png,Scholk,Scholk,1,643
34,4,2,15,3,UnRel,10,clothes,dress.png,Lanst,Lanst,1,698
34,4,2,16,3,CRel,13,insects,dragonfly.png,Schmorp,Schmarp,0,664
34,4,2,17,2,CRel,6,furniture,cupboard.png,Gremt,Gremt,1,769
34,4,2,18,1,CRel,9,drinks,water.png,Dimst,Dimst,1,996
34,4,2,19,2,UnRel,5,fruit,orange.png,Amst,Amst,1,689
34,4,2,20,3,UnRel,4,musical instruments,piano.png,Mirge,Mirge,1,828
34,4,2,21,2,UnRel,14,electronic devices,camera.png,Zolge,Zolge,1,761
34,4,2,22,3,CRel,13,insects,beetle.png,Lember,Lember,1,731
34,4,2,23,1,CRel,9,drinks,milk.png,Bift,Bift,1,798
34,4,2,24,2,CRel,6,furniture,bed.png,Kansche,Kansche,1,792
35,5,1,1,3,CRel,10,clothes,dress.png,Lanst,Lanst,1,786
35,5,1,2,2,CRel,3,vegetables,onion.png,Troschel,Troschel,1,744
35,5,1,3,1,UnRel,4,musical instruments,drum.png,Fente,Fente,1,677
35,5,1,4,1,CRel,7,transportation,train.png,Melg,Melg,1,1126
35,5,1,5,1,UnRel,14,electronic devices,printer.png,Jersch,Jersch,1,698
35,5,1,6,3,UnRel,2,tools,ax.png,Flipse,Flipse,1,769
35,5,1,7,3,CRel,10,clothes,coat.png,Dilpe,Dilpe,1,840
35,5,1,8,2,UnRel,13,insects,beetle.png,Lember,Lember,1,727
35,5,1,9,3,UnRel,8,human head,ear.png,Glutz,Glutz,1,719
35,5,1,10,1,CRel,7,transportation,bus.png,Jorn,Jorn,1,744
35,5,1,11,2,CRel,3,vegetables,tomato.png,Schinz,Schinz,1,731
35,5,1,12,3,CRel,10,clothes,trousers.png,Glienst,Glienst,1,787
35,5,2,13,2,UnRel,12,shapes,trapeze.png,Quippe,Quippe,1,727
35,5,2,14,2,UnRel,9,drinks,milk.png,Bift,Bift,1,811
35,5,2,15,1,CRel,7,transportation,ship.png,Pramme,Pramme,1,824
35,5,2,16,2,CRel,3,vegetables,potato.png,Rullner,Rullner,1,807
35,5,2,17,3,CRel,10,clothes,skirt.png,Huspel,Huspel,1,777
35,5,2,18,1,UnRel,1,animals,horse.png,Rafke,Rafke,1,773
35,5,2,19,3,UnRel,5,fruit,banana.png,Limme,Limme,1,937
